order_id,customer_id,order_date,order_status,order_channel,shipping_city,discount_amount,total_amount
ORD0083,C057,2024-02-07 22:05:00,DELIVERED,Website,Delhi,0,42339.88
ORD0084,C082,2024-10-26 16:45:00,DELIVERED,In-Store,Jaipur,0,68876.74
ORD0085,C078,2024-08-08 09:50:00,DELIVERED,In-Store,Jaipur,2000,130025.61
ORD0086,C056,2024-08-19 22:14:00,DELIVERED,Mobile App,Kolkata,500,109847.46
ORD0087,C041,2024-08-06 13:42:00,DELIVERED,Website,Ahmedabad,0,15046.88
ORD0088,C011,2024-02-17 14:06:00,DELIVERED,Mobile App,Bangalore,1000,10407.18
ORD0089,C072,2024-10-14 13:42:00,PROCESSING,Mobile App,Kolkata,2000,9139.74
ORD0090,C037,2024-11-03 12:22:00,PROCESSING,In-Store,Hyderabad,0,99025.34
ORD0091,C029,2025-03-09 09:22:00,DELIVERED,Mobile App,Delhi,0,86753.85
ORD0092,C055,2025-03-08 16:49:00,DELIVERED,In-Store,Jaipur,0,91935.74
ORD0093,C085,2025-02-28 19:17:00,PENDING,Mobile App,Chennai,0,53626.98
ORD0094,C024,2025-03-21 10:36:00,DELIVERED,Website,Bangalore,2000,95526.04
ORD0095,C004,2024-02-16 19:33:00,PROCESSING,Mobile App,Ahmedabad,0,24875.28
ORD0096,C040,2025-01-04 13:49:00,CANCELLED,In-Store,Delhi,0,24603.62
ORD0097,C097,2024-11-12 08:43:00,PENDING,Mobile App,Kolkata,500,91650.79
ORD0098,C054,2024-05-19 11:48:00,DELIVERED,Mobile App,Kolkata,0,43562.1
ORD0099,C087,2024-10-30 15:33:00,DELIVERED,Website,Hyderabad,500,147690.18
ORD0100,C008,2024-01-04 11:19:00,CANCELLED,Website,Chennai,0,50226.17
ORD0101,C001,2024-09-11 19:27:00,PROCESSING,Mobile App,Jaipur,2000,35671.44
ORD0102,C072,2025-03-02 18:51:00,DELIVERED,Mobile App,Mumbai,500,4283.12
ORD0103,C010,2025-03-17 13:36:00,DELIVERED,Mobile App,Kolkata,0,18603.25
ORD0104,C003,2025-05-09 13:10:00,DELIVERED,In-Store,Ahmedabad,2000,138085.81
ORD0105,C012,2024-08-11 21:06:00,PROCESSING,In-Store,Kolkata,1000,13179.09
ORD0106,C040,2025-01-16 13:14:00,DELIVERED,Website,Delhi,1000,95533.86
ORD0107,C068,2024-09-18 11:57:00,DELIVERED,Mobile App,Bangalore,0,16766.47
ORD0108,C033,2024-04-11 10:38:00,PROCESSING,In-Store,Delhi,0,142766.88
ORD0109,C081,2024-09-09 15:48:00,DELIVERED,In-Store,Ahmedabad,2000,138736.91
ORD0110,C073,2024-11-25 18:39:00,DELIVERED,In-Store,Pune,0,66804.78
ORD0111,C061,2024-08-14 18:19:00,DELIVERED,In-Store,Mumbai,0,76839.53
ORD0112,C040,2024-08-24 15:02:00,PENDING,Mobile App,Delhi,2000,129841.13
ORD0113,C012,2024-11-10 17:32:00,DELIVERED,In-Store,Jaipur,2000,134537.7
ORD0114,C058,2025-04-10 20:36:00,DELIVERED,Mobile App,Surat,500,75953.04
ORD0115,C008,2024-08-18 09:51:00,DELIVERED,Mobile App,Delhi,1000,97449.87
ORD0116,C006,2024-05-06 19:28:00,CANCELLED,In-Store,Jaipur,1000,25073.81
ORD0117,C048,2025-04-14 12:24:00,DELIVERED,Mobile App,Surat,0,118700.2
ORD0118,C083,2024-06-20 09:21:00,PENDING,In-Store,Kolkata,0,38921.37
ORD0119,C085,2025-05-08 22:38:00,DELIVERED,Mobile App,Delhi,1000,100046.4
ORD0120,C045,2024-06-07 18:44:00,DELIVERED,Website,Surat,2000,140793.33
ORD0121,C040,2024-10-13 14:41:00,DELIVERED,Website,Jaipur,0,97434.69
ORD0122,C055,2024-09-17 13:01:00,DELIVERED,Website,Hyderabad,0,142228.74
ORD0123,C063,2024-04-08 11:08:00,PROCESSING,Mobile App,Delhi,1000,115974.9
ORD0124,C095,2025-03-28 16:02:00,DELIVERED,In-Store,Bangalore,1000,57442.9
ORD0125,C021,2024-04-02 21:44:00,DELIVERED,Website,Ahmedabad,0,62512.5
ORD0126,C087,2025-01-03 11:28:00,DELIVERED,In-Store,Ahmedabad,0,80800.66
ORD0127,C040,2025-05-09 20:50:00,DELIVERED,Website,Pune,2000,142148.83
ORD0128,C057,2024-08-24 20:18:00,DELIVERED,In-Store,Jaipur,500,144990.82
ORD0129,C026,2025-02-14 17:08:00,DELIVERED,Website,Ahmedabad,0,83849.3
ORD0130,C014,2024-12-30 21:33:00,DELIVERED,Mobile App,Delhi,0,42009.51
ORD0131,C066,2024-03-16 21:27:00,PENDING,Website,Ahmedabad,0,139675.08
ORD0132,C054,2024-01-28 14:32:00,DELIVERED,Mobile App,Delhi,0,34844.01
ORD0133,C041,2025-04-21 09:53:00,DELIVERED,Mobile App,Bangalore,0,7188.02
ORD0134,C061,2024-12-22 21:08:00,DELIVERED,Mobile App,Ahmedabad,1000,2279.8
ORD0135,C011,2024-01-10 12:13:00,DELIVERED,In-Store,Surat,1000,64353.33
ORD0136,C100,2024-05-27 11:19:00,PROCESSING,Website,Kolkata,2000,119394.02
ORD0137,C059,2024-02-02 09:53:00,CANCELLED,In-Store,Jaipur,0,95345.31
ORD0138,C074,2024-05-03 19:09:00,DELIVERED,Website,Surat,0,37223.79
ORD0139,C054,2024-04-05 18:42:00,PENDING,Mobile App,Delhi,1000,82296.17
ORD0140,C065,2024-10-10 08:24:00,DELIVERED,Website,Kolkata,0,39167.06
ORD0141,C003,2024-07-01 20:04:00,DELIVERED,In-Store,Delhi,1000,110675.27
ORD0142,C043,2024-03-09 08:22:00,DELIVERED,In-Store,Bangalore,2000,70496.5
ORD0143,C090,2024-09-02 18:11:00,DELIVERED,Website,Ahmedabad,0,45076.22
ORD0144,C006,2025-02-09 11:56:00,PENDING,Mobile App,Jaipur,500,148384.72
ORD0145,C070,2024-08-30 12:02:00,DELIVERED,Website,Chennai,0,129527.57
ORD0146,C007,2025-03-19 18:21:00,DELIVERED,Mobile App,Kolkata,500,111881.19
ORD0147,C050,2024-06-22 10:31:00,DELIVERED,Mobile App,Jaipur,0,120470.49
ORD0148,C094,2024-08-05 09:27:00,DELIVERED,Website,Jaipur,0,49199.9
ORD0149,C011,2024-06-16 18:18:00,DELIVERED,In-Store,Kolkata,0,103930.07
ORD0150,C045,2024-08-16 08:46:00,DELIVERED,Mobile App,Surat,500,42271.47
ORD0151,C008,2024-02-08 18:40:00,DELIVERED,In-Store,Bangalore,0,22702.75
ORD0152,C078,2024-12-13 20:28:00,PENDING,Website,Hyderabad,2000,55899.78
ORD0153,C050,2025-05-01 17:02:00,DELIVERED,In-Store,Ahmedabad,0,56743.99
ORD0154,C098,2024-02-09 17:08:00,DELIVERED,Mobile App,Pune,2000,42885.43
ORD0155,C015,2024-01-14 19:11:00,DELIVERED,Mobile App,Jaipur,0,40373.84
ORD0156,C034,2024-12-26 15:13:00,CANCELLED,Mobile App,Ahmedabad,0,19711.66
ORD0157,C010,2024-08-19 10:57:00,DELIVERED,Website,Pune,2000,53092.66
ORD0158,C009,2024-10-08 16:18:00,DELIVERED,Website,Bangalore,0,77050.23
ORD0159,C016,2024-04-12 20:08:00,PROCESSING,Mobile App,Mumbai,0,83772.18
ORD0160,C048,2024-08-27 20:35:00,PROCESSING,Website,Delhi,0,60626.76
ORD0161,C092,2025-01-03 15:33:00,DELIVERED,Mobile App,Surat,0,20111.03
ORD0162,C041,2024-11-24 09:28:00,DELIVERED,In-Store,Pune,0,131877.08
ORD0163,C100,2024-10-09 18:37:00,PROCESSING,Website,Kolkata,1000,136740.77
ORD0164,C008,2025-03-01 09:33:00,PROCESSING,Website,Bangalore,0,140308.57
ORD0165,C029,2024-06-26 16:57:00,DELIVERED,Website,Chennai,0,95805.98
ORD0166,C071,2024-05-20 10:40:00,DELIVERED,In-Store,Delhi,1000,96686.63
ORD0167,C076,2025-04-27 17:09:00,PROCESSING,In-Store,Surat,0,126615.71
ORD0168,C073,2024-01-22 21:55:00,PENDING,Website,Surat,0,98192.8
ORD0169,C099,2024-10-19 14:39:00,DELIVERED,Mobile App,Jaipur,0,96823.23
ORD0170,C039,2024-09-04 11:51:00,DELIVERED,Mobile App,Chennai,500,12336.49
ORD0171,C008,2024-03-21 15:26:00,DELIVERED,Website,Pune,1000,22834.8
ORD0172,C092,2024-06-12 19:55:00,DELIVERED,Mobile App,Bangalore,0,77974.55
ORD0173,C014,2024-06-12 11:29:00,PROCESSING,Mobile App,Hyderabad,0,15876.53
ORD0174,C038,2025-04-29 14:55:00,DELIVERED,Website,Bangalore,0,140162.1
ORD0175,C093,2024-06-09 11:48:00,PROCESSING,In-Store,Ahmedabad,500,132042.74
ORD0176,C064,2024-01-12 09:25:00,DELIVERED,Website,Hyderabad,1000,53904.92
ORD0177,C007,2024-05-24 15:38:00,DELIVERED,In-Store,Ahmedabad,0,81198.58
ORD0178,C014,2024-08-08 10:56:00,DELIVERED,Mobile App,Kolkata,0,8218.5
ORD0179,C007,2024-10-18 16:12:00,DELIVERED,Mobile App,Delhi,500,76381.95
ORD0180,C098,2024-10-08 12:52:00,CANCELLED,In-Store,Surat,0,20606.51
ORD0181,C013,2024-07-20 13:50:00,CANCELLED,In-Store,Pune,0,31060.1
ORD0182,C066,2024-07-24 16:02:00,PENDING,Website,Pune,500,78620.91
ORD0183,C020,2024-11-06 22:32:00,PROCESSING,In-Store,Pune,0,59853.76
ORD0184,C079,2025-01-13 21:19:00,DELIVERED,In-Store,Jaipur,1000,74242.23
ORD0185,C073,2024-06-02 15:52:00,PENDING,Mobile App,Delhi,500,88179.77
ORD0186,C093,2025-03-22 19:40:00,PENDING,Mobile App,Chennai,2000,117761.24
ORD0187,C100,2024-10-23 17:14:00,DELIVERED,In-Store,Ahmedabad,0,79348.5
ORD0188,C093,2024-11-13 20:53:00,DELIVERED,In-Store,Hyderabad,0,86526.69
ORD0189,C090,2024-02-26 11:01:00,DELIVERED,Mobile App,Bangalore,500,104039.29
ORD0190,C053,2024-09-13 20:39:00,CANCELLED,In-Store,Mumbai,2000,22005.25
ORD0191,C027,2024-10-14 13:42:00,DELIVERED,Mobile App,Pune,0,69760.03
ORD0192,C069,2024-06-24 16:22:00,DELIVERED,In-Store,Chennai,1000,73400.75
ORD0193,C032,2024-05-22 16:19:00,PROCESSING,Mobile App,Chennai,2000,32280.75
ORD0194,C091,2024-09-07 13:30:00,DELIVERED,In-Store,Chennai,0,19598.3
ORD0195,C087,2024-10-05 14:57:00,CANCELLED,Mobile App,Bangalore,0,7746.87
ORD0196,C092,2024-02-10 13:59:00,DELIVERED,Mobile App,Ahmedabad,0,31507.1
ORD0197,C069,2024-05-18 22:35:00,DELIVERED,Website,Delhi,1000,111522.31
ORD0198,C031,2024-05-04 08:42:00,CANCELLED,Website,Hyderabad,0,16379.4
ORD0199,C043,2025-01-02 15:06:00,DELIVERED,Website,Mumbai,1000,146719.74
ORD0200,C021,2024-07-27 18:59:00,DELIVERED,Mobile App,Ahmedabad,2000,31119.21
