order_item_id,order_id,product_id,quantity,unit_price,line_total,discount_amount
OI00050,ORD0026,P013,2,84999,165748.05,4249.95
OI00051,ORD0026,P015,1,14999,13499.1,1499.9
OI00052,ORD0027,P012,1,24900,24900,0
OI00053,ORD0028,P013,3,84999,254997,0
OI00054,ORD0028,P017,1,34999,34999,0
OI00055,ORD0028,P005,2,114900,224055.0,5745.0
OI00056,ORD0029,P018,2,8995,17990,0
OI00057,ORD0029,P014,1,41999,39899.05,2099.95
OI00058,ORD0029,P020,2,8499,16998,0
OI00059,ORD0030,P007,1,72999,69349.05,3649.95
OI00060,ORD0030,P004,3,26999,80997,0
OI00061,ORD0031,P007,1,72999,72999,0
OI00062,ORD0032,P002,1,69999,69999,0
OI00063,ORD0032,P015,2,14999,29248.05,749.95
OI00064,ORD0032,P020,1,8499,7649.1,849.9
OI00065,ORD0033,P002,1,69999,62999.1,6999.9
OI00066,ORD0034,P008,2,61999,117798.1,6199.9
OI00067,ORD0034,P019,3,2499,7497,0
OI00068,ORD0035,P010,1,1499,1349.1,149.9
OI00069,ORD0036,P014,2,41999,83998,0
OI00070,ORD0037,P018,3,8995,26985,0
OI00071,ORD0038,P014,1,41999,41999,0
OI00072,ORD0038,P018,3,8995,26535.25,449.75
OI00073,ORD0038,P016,3,64999,194997,0
OI00074,ORD0039,P014,2,41999,81898.05,2099.95
OI00075,ORD0039,P020,1,8499,7649.1,849.9
OI00076,ORD0039,P005,2,114900,229800,0
OI00077,ORD0040,P010,3,1499,4497,0
OI00078,ORD0041,P002,2,69999,136498.05,3499.95
OI00079,ORD0041,P018,3,8995,26085.5,899.5
OI00080,ORD0042,P013,1,84999,84999,0
OI00081,ORD0043,P011,3,5999,17997,0
OI00082,ORD0044,P012,3,24900,74700,0
OI00083,ORD0044,P003,1,54999,54999,0
OI00084,ORD0045,P020,1,8499,8499,0
OI00085,ORD0045,P002,3,69999,202997.1,6999.9
OI00086,ORD0046,P016,1,64999,64999,0
OI00087,ORD0047,P001,1,74999,74999,0
OI00088,ORD0047,P007,3,72999,215347.05,3649.95
OI00089,ORD0048,P020,3,8499,25497,0
OI00090,ORD0049,P008,2,61999,123998,0
OI00091,ORD0049,P018,2,8995,17540.25,449.75
OI00092,ORD0050,P012,2,24900,47310.0,2490.0
OI00093,ORD0050,P010,2,1499,2923.05,74.95
OI00094,ORD0050,P009,1,26990,25640.5,1349.5
OI00095,ORD0051,P007,2,72999,142348.05,3649.95
OI00096,ORD0051,P012,1,24900,22410.0,2490.0
OI00097,ORD0052,P005,1,114900,114900,0
OI00098,ORD0053,P019,2,2499,4998,0
OI00099,ORD0053,P020,1,8499,8499,0
OI00100,ORD0053,P014,1,41999,39899.05,2099.95
OI00101,ORD0054,P008,3,61999,185997,0
OI00102,ORD0054,P016,2,64999,126748.05,3249.95
OI00103,ORD0054,P018,3,8995,26535.25,449.75
OI00104,ORD0055,P006,1,109900,109900,0
OI00105,ORD0055,P012,3,24900,72210.0,2490.0
OI00106,ORD0056,P006,3,109900,329700,0
OI00107,ORD0056,P018,3,8995,26985,0
OI00108,ORD0057,P002,1,69999,66499.05,3499.95
OI00109,ORD0058,P008,1,61999,61999,0
OI00110,ORD0059,P007,3,72999,215347.05,3649.95
OI00111,ORD0060,P002,3,69999,206497.05,3499.95
OI00112,ORD0060,P016,1,64999,64999,0
OI00113,ORD0061,P018,1,8995,8095.5,899.5
OI00114,ORD0061,P014,3,41999,125997,0
OI00115,ORD0061,P001,3,74999,224997,0
OI00116,ORD0062,P017,3,34999,103247.05,1749.95
OI00117,ORD0063,P004,1,26999,24299.1,2699.9
OI00118,ORD0064,P008,1,61999,55799.1,6199.9
OI00119,ORD0065,P009,2,26990,53980,0
OI00120,ORD0065,P012,2,24900,48555.0,1245.0
OI00121,ORD0065,P020,2,8499,16148.1,849.9
OI00122,ORD0066,P008,2,61999,123998,0
OI00123,ORD0067,P002,2,69999,136498.05,3499.95
OI00124,ORD0067,P003,3,54999,162247.05,2749.95
OI00125,ORD0067,P013,1,84999,84999,0
OI00126,ORD0068,P006,2,109900,219800,0
OI00127,ORD0068,P003,3,54999,164997,0
OI00128,ORD0068,P016,3,64999,194997,0
OI00129,ORD0069,P007,3,72999,211697.1,7299.9
OI00130,ORD0070,P009,1,26990,26990,0
OI00131,ORD0070,P002,3,69999,202997.1,6999.9
OI00132,ORD0071,P002,1,69999,69999,0
OI00133,ORD0071,P006,3,109900,329700,0
OI00134,ORD0071,P011,3,5999,17697.05,299.95
OI00135,ORD0072,P010,1,1499,1349.1,149.9
OI00136,ORD0073,P019,2,2499,4748.1,249.9
OI00137,ORD0074,P013,3,84999,254997,0
OI00138,ORD0074,P005,3,114900,344700,0
OI00139,ORD0075,P004,2,26999,53998,0
OI00140,ORD0076,P011,3,5999,17397.1,599.9
OI00141,ORD0077,P013,3,84999,254997,0
OI00142,ORD0077,P011,2,5999,11698.05,299.95
OI00143,ORD0077,P001,1,74999,74999,0
OI00144,ORD0078,P013,3,84999,246497.1,8499.9
OI00145,ORD0078,P014,3,41999,123897.05,2099.95
OI00146,ORD0078,P006,1,109900,98910.0,10990.0
OI00147,ORD0079,P008,1,61999,61999,0
OI00148,ORD0079,P003,1,54999,52249.05,2749.95
OI00149,ORD0080,P005,2,114900,229800,0
OI00150,ORD0080,P013,1,84999,84999,0
OI00151,ORD0080,P011,2,5999,11698.05,299.95
OI00152,ORD0081,P009,1,26990,26990,0
OI00153,ORD0081,P004,1,26999,25649.05,1349.95
OI00154,ORD0082,P018,3,8995,26535.25,449.75
OI00155,ORD0082,P020,1,8499,8499,0
OI00156,ORD0083,P012,3,24900,74700,0
OI00157,ORD0084,P020,1,8499,8499,0
OI00158,ORD0084,P011,2,5999,11698.05,299.95
OI00159,ORD0084,P013,1,84999,76499.1,8499.9
OI00160,ORD0085,P019,3,2499,7497,0
OI00161,ORD0086,P013,2,84999,169998,0
OI00162,ORD0086,P006,2,109900,214305.0,5495.0
OI00163,ORD0086,P005,1,114900,114900,0
OI00164,ORD0087,P014,2,41999,81898.05,2099.95
OI00165,ORD0088,P016,2,64999,129998,0
OI00166,ORD0088,P003,1,54999,52249.05,2749.95
OI00167,ORD0089,P020,1,8499,8499,0
OI00168,ORD0089,P007,2,72999,145998,0
OI00169,ORD0089,P015,2,14999,29998,0
OI00170,ORD0090,P013,2,84999,165748.05,4249.95
OI00171,ORD0090,P011,3,5999,17397.1,599.9
OI00172,ORD0090,P015,1,14999,14999,0
OI00173,ORD0091,P020,2,8499,16998,0
OI00174,ORD0091,P007,1,72999,69349.05,3649.95
OI00175,ORD0092,P010,3,1499,4497,0
OI00176,ORD0092,P016,2,64999,126748.05,3249.95
OI00177,ORD0093,P013,1,84999,76499.1,8499.9
OI00178,ORD0093,P012,1,24900,22410.0,2490.0
OI00179,ORD0094,P006,3,109900,324205.0,5495.0
OI00180,ORD0094,P018,3,8995,26985,0
OI00181,ORD0094,P001,2,74999,149998,0
OI00182,ORD0095,P003,1,54999,54999,0
OI00183,ORD0095,P014,1,41999,41999,0
OI00184,ORD0095,P016,3,64999,194997,0
OI00185,ORD0096,P014,2,41999,79798.1,4199.9
OI00186,ORD0096,P013,2,84999,161498.1,8499.9
OI00187,ORD0096,P003,2,54999,104498.1,5499.9
OI00188,ORD0097,P014,2,41999,79798.1,4199.9
OI00189,ORD0097,P018,3,8995,26985,0
OI00190,ORD0097,P002,1,69999,69999,0
OI00191,ORD0098,P012,3,24900,73455.0,1245.0
OI00192,ORD0098,P006,2,109900,214305.0,5495.0
OI00193,ORD0098,P002,1,69999,69999,0
OI00194,ORD0099,P009,1,26990,24291.0,2699.0
OI00195,ORD0100,P017,2,34999,69998,0
OI00196,ORD0100,P018,2,8995,17540.25,449.75
OI00197,ORD0100,P008,3,61999,179797.1,6199.9
OI00198,ORD0101,P017,1,34999,33249.05,1749.95
OI00199,ORD0101,P005,1,114900,114900,0
OI00200,ORD0101,P012,2,24900,49800,0
OI00201,ORD0102,P005,2,114900,229800,0
OI00202,ORD0103,P015,3,14999,44247.05,749.95
OI00203,ORD0103,P007,2,72999,142348.05,3649.95
OI00204,ORD0104,P015,3,14999,44247.05,749.95
OI00205,ORD0105,P003,1,54999,54999,0
OI00206,ORD0105,P010,1,1499,1499,0
OI00207,ORD0106,P004,3,26999,80997,0
OI00208,ORD0106,P006,3,109900,329700,0
OI00209,ORD0106,P008,2,61999,117798.1,6199.9
OI00210,ORD0107,P015,2,14999,29998,0
OI00211,ORD0107,P008,1,61999,58899.05,3099.95
OI00212,ORD0108,P001,2,74999,142498.1,7499.9
OI00213,ORD0108,P007,2,72999,142348.05,3649.95
OI00214,ORD0109,P007,1,72999,72999,0
OI00215,ORD0110,P003,3,54999,164997,0
OI00216,ORD0110,P019,2,2499,4998,0
OI00217,ORD0110,P004,1,26999,25649.05,1349.95
OI00218,ORD0111,P009,3,26990,79620.5,1349.5
OI00219,ORD0112,P011,3,5999,17997,0
OI00220,ORD0112,P013,2,84999,169998,0
OI00221,ORD0112,P019,2,2499,4748.1,249.9
OI00222,ORD0113,P010,3,1499,4347.1,149.9
OI00223,ORD0114,P005,2,114900,229800,0
OI00224,ORD0115,P010,1,1499,1499,0
OI00225,ORD0116,P005,2,114900,224055.0,5745.0
OI00226,ORD0116,P017,3,34999,104997,0
OI00227,ORD0117,P013,2,84999,161498.1,8499.9
OI00228,ORD0117,P014,3,41999,125997,0
OI00229,ORD0117,P006,3,109900,329700,0
OI00230,ORD0118,P010,1,1499,1499,0
OI00231,ORD0118,P005,2,114900,218310.0,11490.0
OI00232,ORD0119,P012,1,24900,23655.0,1245.0
OI00233,ORD0120,P007,2,72999,138698.1,7299.9
OI00234,ORD0121,P016,2,64999,126748.05,3249.95
OI00235,ORD0121,P014,2,41999,83998,0
OI00236,ORD0121,P020,1,8499,7649.1,849.9
OI00237,ORD0122,P008,2,61999,123998,0
OI00238,ORD0123,P008,2,61999,123998,0
OI00239,ORD0123,P018,2,8995,17090.5,899.5
OI00240,ORD0124,P016,1,64999,58499.1,6499.9
OI00241,ORD0124,P018,1,8995,8995,0
OI00242,ORD0124,P017,3,34999,104997,0
OI00243,ORD0125,P002,1,69999,66499.05,3499.95
OI00244,ORD0125,P015,1,14999,14999,0
OI00245,ORD0125,P018,2,8995,17990,0
OI00246,ORD0126,P009,1,26990,25640.5,1349.5
OI00247,ORD0126,P012,1,24900,24900,0
OI00248,ORD0127,P019,3,2499,7497,0
OI00249,ORD0128,P020,3,8499,25497,0
OI00250,ORD0128,P014,1,41999,41999,0
OI00251,ORD0128,P006,1,109900,98910.0,10990.0
OI00252,ORD0129,P018,3,8995,26085.5,899.5
OI00253,ORD0129,P009,1,26990,26990,0
OI00254,ORD0130,P010,3,1499,4497,0
OI00255,ORD0130,P020,1,8499,8074.05,424.95
OI00256,ORD0130,P009,1,26990,26990,0
OI00257,ORD0131,P005,1,114900,114900,0
OI00258,ORD0131,P020,1,8499,8074.05,424.95
OI00259,ORD0131,P008,2,61999,123998,0
OI00260,ORD0132,P009,2,26990,53980,0
OI00261,ORD0132,P014,3,41999,125997,0
OI00262,ORD0132,P013,2,84999,161498.1,8499.9
OI00263,ORD0133,P009,2,26990,53980,0
OI00264,ORD0133,P012,3,24900,74700,0
OI00265,ORD0133,P015,3,14999,44997,0
OI00266,ORD0134,P015,3,14999,44247.05,749.95
OI00267,ORD0134,P012,1,24900,23655.0,1245.0
OI00268,ORD0134,P003,1,54999,52249.05,2749.95
OI00269,ORD0135,P011,2,5999,11398.1,599.9
OI00270,ORD0135,P010,3,1499,4497,0
OI00271,ORD0136,P016,1,64999,64999,0
OI00272,ORD0136,P011,3,5999,17697.05,299.95
OI00273,ORD0136,P002,1,69999,69999,0
OI00274,ORD0137,P015,2,14999,29998,0
OI00275,ORD0138,P007,3,72999,218997,0
OI00276,ORD0138,P005,1,114900,114900,0
OI00277,ORD0139,P012,2,24900,49800,0
OI00278,ORD0140,P006,2,109900,219800,0
OI00279,ORD0140,P002,3,69999,209997,0
OI00280,ORD0141,P003,1,54999,54999,0
OI00281,ORD0141,P004,2,26999,53998,0
OI00282,ORD0142,P019,1,2499,2249.1,249.9
OI00283,ORD0143,P015,3,14999,44997,0
OI00284,ORD0143,P001,1,74999,71249.05,3749.95
OI00285,ORD0143,P019,3,2499,7497,0
OI00286,ORD0144,P003,2,54999,109998,0
OI00287,ORD0144,P008,3,61999,185997,0
OI00288,ORD0145,P011,2,5999,11998,0
OI00289,ORD0146,P013,1,84999,84999,0
OI00290,ORD0147,P017,3,34999,104997,0
OI00291,ORD0148,P006,3,109900,329700,0
OI00292,ORD0148,P015,3,14999,44997,0
OI00293,ORD0148,P012,2,24900,47310.0,2490.0
OI00294,ORD0149,P015,1,14999,14999,0
OI00295,ORD0149,P007,1,72999,65699.1,7299.9
OI00296,ORD0149,P003,3,54999,162247.05,2749.95
OI00297,ORD0150,P014,1,41999,41999,0
OI00298,ORD0150,P011,2,5999,11998,0
OI00299,ORD0151,P018,3,8995,26085.5,899.5
OI00300,ORD0152,P020,3,8499,25497,0
OI00301,ORD0152,P010,1,1499,1349.1,149.9
OI00302,ORD0152,P001,3,74999,217497.1,7499.9
OI00303,ORD0153,P013,2,84999,169998,0
OI00304,ORD0154,P016,2,64999,129998,0
OI00305,ORD0155,P016,3,64999,188497.1,6499.9
OI00306,ORD0156,P017,1,34999,34999,0
OI00307,ORD0157,P005,3,114900,338955.0,5745.0
OI00308,ORD0157,P013,2,84999,161498.1,8499.9
OI00309,ORD0158,P006,1,109900,98910.0,10990.0
OI00310,ORD0158,P016,1,64999,64999,0
OI00311,ORD0158,P003,2,54999,109998,0
OI00312,ORD0159,P002,2,69999,132998.1,6999.9
OI00313,ORD0160,P017,2,34999,68248.05,1749.95
OI00314,ORD0160,P014,1,41999,37799.1,4199.9
OI00315,ORD0161,P020,1,8499,8499,0
OI00316,ORD0161,P005,1,114900,103410.0,11490.0
OI00317,ORD0161,P009,1,26990,26990,0
OI00318,ORD0162,P011,2,5999,11698.05,299.95
OI00319,ORD0162,P013,3,84999,254997,0
OI00320,ORD0162,P003,1,54999,54999,0
OI00321,ORD0163,P014,1,41999,39899.05,2099.95
OI00322,ORD0164,P020,3,8499,25497,0
OI00323,ORD0164,P002,1,69999,69999,0
OI00324,ORD0164,P010,3,1499,4497,0
OI00325,ORD0165,P001,2,74999,142498.1,7499.9
OI00326,ORD0165,P006,3,109900,329700,0
OI00327,ORD0165,P016,1,64999,64999,0
OI00328,ORD0166,P009,3,26990,80970,0
OI00329,ORD0167,P011,2,5999,11998,0
OI00330,ORD0168,P003,2,54999,107248.05,2749.95
OI00331,ORD0168,P009,3,26990,80970,0
OI00332,ORD0168,P020,1,8499,8074.05,424.95
OI00333,ORD0169,P006,2,109900,219800,0
OI00334,ORD0169,P012,3,24900,74700,0
OI00335,ORD0169,P020,1,8499,7649.1,849.9
OI00336,ORD0170,P002,1,69999,69999,0
OI00337,ORD0171,P016,2,64999,126748.05,3249.95
OI00338,ORD0172,P006,1,109900,98910.0,10990.0
OI00339,ORD0173,P014,1,41999,39899.05,2099.95
OI00340,ORD0173,P008,3,61999,185997,0
OI00341,ORD0173,P011,2,5999,11998,0
OI00342,ORD0174,P012,3,24900,74700,0
OI00343,ORD0174,P004,1,26999,26999,0
OI00344,ORD0174,P017,3,34999,104997,0
OI00345,ORD0175,P003,2,54999,109998,0
OI00346,ORD0175,P015,2,14999,29998,0
OI00347,ORD0176,P015,1,14999,14999,0
OI00348,ORD0176,P001,3,74999,224997,0
OI00349,ORD0176,P012,3,24900,72210.0,2490.0
OI00350,ORD0177,P015,2,14999,28498.1,1499.9
OI00351,ORD0178,P007,1,72999,72999,0
OI00352,ORD0178,P018,1,8995,8545.25,449.75
OI00353,ORD0179,P008,3,61999,185997,0
OI00354,ORD0180,P001,3,74999,221247.05,3749.95
OI00355,ORD0180,P011,3,5999,17997,0
OI00356,ORD0180,P020,1,8499,8499,0
OI00357,ORD0181,P008,1,61999,61999,0
OI00358,ORD0181,P014,3,41999,125997,0
OI00359,ORD0181,P016,1,64999,64999,0
OI00360,ORD0182,P017,2,34999,69998,0
OI00361,ORD0183,P003,1,54999,49499.1,5499.9
OI00362,ORD0183,P019,1,2499,2374.05,124.95
OI00363,ORD0184,P019,3,2499,7497,0
OI00364,ORD0185,P005,2,114900,229800,0
OI00365,ORD0185,P008,2,61999,120898.05,3099.95
OI00366,ORD0186,P011,2,5999,11998,0
OI00367,ORD0186,P020,1,8499,8499,0
OI00368,ORD0186,P015,1,14999,13499.1,1499.9
OI00369,ORD0187,P005,1,114900,114900,0
OI00370,ORD0188,P015,2,14999,29998,0
OI00371,ORD0188,P011,3,5999,17997,0
OI00372,ORD0189,P015,2,14999,29248.05,749.95
OI00373,ORD0190,P004,1,26999,26999,0
OI00374,ORD0190,P003,3,54999,159497.1,5499.9
OI00375,ORD0191,P007,2,72999,145998,0
OI00376,ORD0192,P008,2,61999,120898.05,3099.95
OI00377,ORD0193,P002,1,69999,69999,0
OI00378,ORD0193,P010,2,1499,2923.05,74.95
OI00379,ORD0193,P009,3,26990,78271.0,2699.0
OI00380,ORD0194,P004,2,26999,53998,0
OI00381,ORD0195,P004,1,26999,26999,0
OI00382,ORD0196,P005,1,114900,109155.0,5745.0
OI00383,ORD0197,P003,3,54999,164997,0
OI00384,ORD0197,P019,1,2499,2499,0
OI00385,ORD0198,P007,3,72999,215347.05,3649.95
OI00386,ORD0199,P003,2,54999,109998,0
OI00387,ORD0200,P015,1,14999,14999,0
